Crimes Reported by City  Township  Village Police Departments for 2017,,,,,,,,,,
AgencyName,Population,ViolentCrimeTotal,Murder,Rape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft
Aberdeen,1596,2,0,0,2,0,15,6,9,0
Ada,5551,2,0,2,0,0,30,5,24,1
Addyston,936,3,0,1,0,2,23,5,17,1
Akron,197412,1625,43,243,401,938,8955,2365,5754,836
Albany,899,0,0,0,0,0,13,3,10,0
Alliance ,21838,101,0,17,15,69,844,111,689,44
Amelia ,4982,3,0,0,0,3,67,3,61,3
American Township,12208,1,0,0,0,1,214,15,188,11
Amherst ,12090,6,0,0,2,4,159,14,142,3
Apple Creek,1188,2,0,0,0,2,4,0,4,0
Archbold,4338,4,0,1,0,3,70,9,59,2
Ashland,20485,41,1,14,7,19,414,56,352,6
Ashville,4211,6,1,0,1,4,61,10,47,4
Athens,25526,45,0,10,7,28,482,56,404,22
Aurora,15932,3,0,0,1,2,191,18,171,2
Austintown Township,35303,63,0,9,15,39,822,110,687,25
Avon Lake,23839,8,0,0,1,7,134,23,104,7
Bainbridge Township (Geauga),11528,3,0,1,0,2,246,6,240,0
Baltimore,2973,0,0,0,0,0,17,3,13,1
Barberton,26050,103,1,19,15,68,913,171,699,43
Barnesville,4096,0,0,0,0,0,17,4,12,1
Batavia,1656,0,0,0,0,0,59,7,48,4
Bath Township (Summit),9678,10,0,2,3,5,124,15,107,2
Bay View ,603,0,0,0,0,0,8,4,4,0
Bazetta Township,5614,6,0,1,0,5,134,21,113,0
Beach City,989,0,0,0,0,0,6,1,4,1
Beaver Township,6427,3,0,1,0,2,102,23,74,5
Beavercreek,46572,46,0,17,9,20,1127,49,1028,50
Bellaire,4153,14,1,2,1,10,40,6,34,0
Bellbrook,7159,6,0,1,1,4,41,1,40,0
Bellefontaine,13144,16,0,7,2,7,341,48,288,5
Bellville,1864,0,0,0,0,0,18,2,15,1
Belpre,6466,3,0,0,0,3,94,20,69,5
Bethel,2791,4,0,0,0,4,95,16,77,2
Bexley,13773,21,2,4,10,5,430,106,308,16
Blanchester,4261,13,0,7,2,4,99,22,72,5
